name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
be-2254,86308637.0,-3.300276,5.2703123,86308637,be-2254,True,3.0,2.0,1.0,True,3 rings
tasimelteon,10220503.0,-0.015905099,10.043601,10220503,tasimelteon,True,3.0,1.0,2.0,True,3 rings
esaxerenone,25052023.0,0.15769745,0.8099398,25052023,esaxerenone,True,3.0,3.0,0.0,True,3 rings
ixazomib-citrate,69040311.0,0.11083701,7.01108,69040311,ixazomib-citrate,True,2.0,1.0,1.0,True,2 rings
alendronate,44400013.0,2.149121,9.023217,44400013,alendronate,True,0.0,0.0,0.0,False,0 rings
dazmegrel,53555.0,-0.65329427,-0.48489133,53555,dazmegrel,True,3.0,3.0,0.0,True,3 rings
nobiletin,72344.0,-0.14589211,1.1144856,72344,nobiletin,True,3.0,3.0,0.0,True,3 rings
azd7986,118253852.0,-0.7036499,1.0732418,118253852,azd7986,True,4.0,3.0,1.0,True,4+ rings
bebt-908,59474330.0,0.20159993,2.0228527,59474330,bebt-908,True,5.0,4.0,1.0,True,4+ rings
nitromide,4511.0,-0.7322613,9.20026,4511,nitromide,True,1.0,1.0,0.0,True,1 ring
saroglitazar,60151560.0,0.73738253,0.9904721,60151560,saroglitazar,True,3.0,3.0,0.0,True,3 rings
l-368899,9872389.0,0.18123081,6.9700785,9872389,l-368899,True,4.0,1.0,3.0,True,4+ rings
betamethasone-valerate,16533.0,1.1645255,7.4166017,16533,betamethasone-valerate,True,4.0,0.0,4.0,True,4+ rings
2-methylimidazole,12749.0,-0.9272117,10.76582,12749,2-methylimidazole,True,1.0,1.0,0.0,True,1 ring
pnu-282987,9795278.0,-0.13270222,10.243255,9795278,pnu-282987,True,4.0,1.0,3.0,True,4+ rings
kx2-391,23635314.0,0.07289195,0.6553226,23635314,kx2-391,True,4.0,3.0,1.0,True,4+ rings
asivatrep,56649347.0,-1.643016,4.6673965,56649347,asivatrep,True,2.0,2.0,0.0,True,2 rings
diclofenac,3033.0,-3.8761578,4.8624134,3033,diclofenac,True,2.0,2.0,0.0,True,2 rings
emeramide,21133161.0,-0.708204,8.955778,21133161,emeramide,True,1.0,1.0,0.0,True,1 ring
hemado,10981286.0,-1.591014,6.152146,10981286,hemado,True,3.0,2.0,1.0,True,3 rings
proadifen,4910.0,-2.462529,4.1769423,4910,proadifen,True,2.0,2.0,0.0,True,2 rings
simvastatin,54454.0,1.7647945,7.464286,54454,simvastatin,True,3.0,0.0,3.0,True,3 rings
gabexate,3447.0,-0.013233839,8.392869,3447,gabexate,True,1.0,1.0,0.0,True,1 ring
cis-aconitic-acid,643757.0,2.5573575,9.1475,643757,cis-aconitic-acid,True,0.0,0.0,0.0,False,0 rings
thioperamide,6604452.0,2.914914,7.864267,6604452,thioperamide,True,3.0,0.0,3.0,True,3 rings
methicillin,6087.0,-0.23407619,8.373215,6087,methicillin,True,3.0,1.0,2.0,True,3 rings
capadenoson,9936489.0,2.3542602,1.7554185,9936489,capadenoson,True,4.0,4.0,0.0,True,4+ rings
fluvoxamine,5324346.0,0.41312152,8.992327,5324346,fluvoxamine,True,1.0,1.0,0.0,True,1 ring
cp-316819,10273347.0,-0.46855012,0.93987536,10273347,cp-316819,True,3.0,3.0,0.0,True,3 rings
bay-11-7085,5353432.0,0.007868892,10.117116,5353432,bay-11-7085,True,1.0,1.0,0.0,True,1 ring
capsazepine,2733484.0,-2.8354461,4.995981,2733484,capsazepine,True,3.0,2.0,1.0,True,3 rings
montelukast,5281040.0,1.5527092,1.8015904,5281040,montelukast,True,5.0,4.0,1.0,True,4+ rings
cgp-52411,1697.0,-0.32575023,0.26891714,1697,cgp-52411,True,4.0,3.0,1.0,True,4+ rings
sym-2206,92209239.0,-2.4352024,5.2157207,92209239,sym-2206,True,4.0,2.0,2.0,True,4+ rings
pac-1,9675990.0,-1.9939941,5.036384,9675990,pac-1,True,3.0,2.0,1.0,True,3 rings
tenofovir-disoproxil,5481350.0,-0.12259545,5.8795595,5481350,tenofovir-disoproxil,True,2.0,2.0,0.0,True,2 rings
relebactam,44129647.0,1.9056022,8.607127,44129647,relebactam,True,3.0,0.0,3.0,True,3 rings
cerulenin,5282054.0,2.7917926,8.540608,5282054,cerulenin,True,1.0,0.0,1.0,True,1 ring
gr-135531,4284525.0,-2.9758172,5.774575,4284525,gr-135531,True,2.0,2.0,0.0,True,2 rings
pipotiazine-palmitate,37767.0,1.2865082,6.189056,37767,pipotiazine-palmitate,True,4.0,2.0,2.0,True,4+ rings
erlotinib,176870.0,-0.12664141,1.16434,176870,erlotinib,True,3.0,3.0,0.0,True,3 rings
farnesyl-thiosalicylic-acid-amide,25187973.0,1.6258749,6.7465835,25187973,farnesyl-thiosalicylic-acid-amide,True,1.0,1.0,0.0,True,1 ring
losmapimod,11552706.0,-2.5611475,4.9004154,11552706,losmapimod,True,3.0,2.0,1.0,True,3 rings
ru-42173,3086576.0,-3.4218745,5.9308915,3086576,ru-42173,True,3.0,2.0,1.0,True,3 rings
(r)-baclofen,6918881.0,-0.8401204,9.842445,6918881,(r)-baclofen,True,1.0,1.0,0.0,True,1 ring
raloxifene,5035.0,2.5902917,1.3292755,5035,raloxifene,True,5.0,4.0,1.0,True,4+ rings
butaprost,5311035.0,1.4059168,7.0530615,5311035,butaprost,True,2.0,0.0,2.0,True,2 rings
aee788,10297043.0,2.8661702,1.3061895,10297043,aee788,True,5.0,4.0,1.0,True,4+ rings
thiamet-g,24808478.0,2.13547,9.06104,24808478,thiamet-g,True,2.0,0.0,2.0,True,2 rings
mek1-2-inhibitor,54483521.0,-2.883912,5.013413,54483521,mek1-2-inhibitor,True,2.0,2.0,0.0,True,2 rings
abamectin,6858005.0,0.786092,5.7164373,6858005,abamectin,True,7.0,0.0,7.0,True,4+ rings
gsk356278,10252640.0,2.6624339,1.8614452,10252640,gsk356278,True,5.0,4.0,1.0,True,4+ rings
salinomycin,3085092.0,0.77481234,6.0362115,3085092,salinomycin,True,5.0,0.0,5.0,True,4+ rings
riodoxol,152256.0,0.16809556,9.818859,152256,riodoxol,True,1.0,1.0,0.0,True,1 ring
umeclidinium,11519070.0,15.301702,3.9629164,11519070,umeclidinium,True,6.0,3.0,3.0,True,4+ rings
a922500,24768273.0,0.42150483,0.72519135,24768273,a922500,True,4.0,3.0,1.0,True,4+ rings
dextran,5460037.0,0.46389893,6.1533737,5460037,dextran,True,2.0,0.0,2.0,True,2 rings
pf-4191834,24986635.0,-0.032580353,0.20307246,24986635,pf-4191834,True,4.0,3.0,1.0,True,4+ rings
ursodeoxycholyltaurine,9848818.0,0.99924034,7.3394756,9848818,ursodeoxycholyltaurine,True,4.0,0.0,4.0,True,4+ rings
ethynodiol-diacetate,9270.0,2.341349,7.4201536,9270,ethynodiol-diacetate,True,4.0,0.0,4.0,True,4+ rings
oxyclozanide,16779.0,-3.019553,4.214378,16779,oxyclozanide,True,2.0,2.0,0.0,True,2 rings
cb-5083,73051434.0,3.1758273,1.6779186,73051434,cb-5083,True,5.0,4.0,1.0,True,4+ rings
pindolol-(-),688095.0,-3.3984172,5.3851295,688095,pindolol-(-),True,2.0,2.0,0.0,True,2 rings
ambrisentan,6918493.0,-0.14343892,0.5226611,6918493,ambrisentan,True,3.0,3.0,0.0,True,3 rings
sevoflurane,5206.0,3.442453,8.082492,5206,sevoflurane,True,0.0,0.0,0.0,False,0 rings
sulfacarbamide,11033.0,-1.2689307,8.919618,11033,sulfacarbamide,True,1.0,1.0,0.0,True,1 ring
r306465,10309899.0,-0.773217,1.1502466,10309899,r306465,True,4.0,3.0,1.0,True,4+ rings
dimethyl-fumarate,637568.0,3.3101249,8.761007,637568,dimethyl-fumarate,True,0.0,0.0,0.0,False,0 rings
relugolix,10348973.0,2.016886,2.3275075,10348973,relugolix,True,5.0,5.0,0.0,True,4+ rings
mirabegron,9865528.0,-0.48598638,1.130984,9865528,mirabegron,True,3.0,3.0,0.0,True,3 rings
sasapyrine,5161.0,-3.2968464,5.766788,5161,sasapyrine,True,2.0,2.0,0.0,True,2 rings
gdc-0927,87055263.0,0.45824245,0.9977359,87055263,gdc-0927,True,5.0,3.0,2.0,True,4+ rings
gnf-2,5311510.0,-0.27167955,0.6430216,5311510,gnf-2,True,3.0,3.0,0.0,True,3 rings
