name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
be-2254,86308637.0,9.51334,2.6293147,86308637,be-2254,True,3.0,2.0,1.0,True,3 rings
tasimelteon,10220503.0,9.782667,2.0932994,10220503,tasimelteon,True,3.0,1.0,2.0,True,3 rings
esaxerenone,25052023.0,9.814395,3.4658597,25052023,esaxerenone,True,3.0,3.0,0.0,True,3 rings
ixazomib-citrate,69040311.0,10.552727,2.2967227,69040311,ixazomib-citrate,True,2.0,1.0,1.0,True,2 rings
alendronate,44400013.0,9.950693,1.4262182,44400013,alendronate,True,0.0,0.0,0.0,False,0 rings
dazmegrel,53555.0,10.296234,2.159788,53555,dazmegrel,True,3.0,3.0,0.0,True,3 rings
nobiletin,72344.0,8.726894,2.8098645,72344,nobiletin,True,3.0,3.0,0.0,True,3 rings
azd7986,118253852.0,8.89334,1.3224721,118253852,azd7986,True,4.0,3.0,1.0,True,4+ rings
bebt-908,59474330.0,9.626883,2.5119932,59474330,bebt-908,True,5.0,4.0,1.0,True,4+ rings
nitromide,4511.0,8.412282,2.1253102,4511,nitromide,True,1.0,1.0,0.0,True,1 ring
saroglitazar,60151560.0,10.849949,2.387106,60151560,saroglitazar,True,3.0,3.0,0.0,True,3 rings
l-368899,9872389.0,9.314802,1.1435013,9872389,l-368899,True,4.0,1.0,3.0,True,4+ rings
betamethasone-valerate,16533.0,8.029983,-1.1928561,16533,betamethasone-valerate,True,4.0,0.0,4.0,True,4+ rings
2-methylimidazole,12749.0,8.970778,1.9224378,12749,2-methylimidazole,True,1.0,1.0,0.0,True,1 ring
pnu-282987,9795278.0,9.928674,2.4190934,9795278,pnu-282987,True,4.0,1.0,3.0,True,4+ rings
kx2-391,23635314.0,9.834005,3.1637104,23635314,kx2-391,True,4.0,3.0,1.0,True,4+ rings
asivatrep,56649347.0,10.101704,2.1714642,56649347,asivatrep,True,2.0,2.0,0.0,True,2 rings
diclofenac,3033.0,10.0505495,2.6666024,3033,diclofenac,True,2.0,2.0,0.0,True,2 rings
emeramide,21133161.0,10.009166,3.051964,21133161,emeramide,True,1.0,1.0,0.0,True,1 ring
hemado,10981286.0,10.414798,-0.6239635,10981286,hemado,True,3.0,2.0,1.0,True,3 rings
proadifen,4910.0,10.676813,3.1974368,4910,proadifen,True,2.0,2.0,0.0,True,2 rings
simvastatin,54454.0,9.881835,1.6122161,54454,simvastatin,True,3.0,0.0,3.0,True,3 rings
gabexate,3447.0,10.681706,2.715481,3447,gabexate,True,1.0,1.0,0.0,True,1 ring
cis-aconitic-acid,643757.0,10.240271,1.7618464,643757,cis-aconitic-acid,True,0.0,0.0,0.0,False,0 rings
thioperamide,6604452.0,9.268516,1.7814385,6604452,thioperamide,True,3.0,0.0,3.0,True,3 rings
methicillin,6087.0,13.255382,1.9106055,6087,methicillin,True,3.0,1.0,2.0,True,3 rings
capadenoson,9936489.0,9.632619,2.3487456,9936489,capadenoson,True,4.0,4.0,0.0,True,4+ rings
fluvoxamine,5324346.0,9.625455,1.9406548,5324346,fluvoxamine,True,1.0,1.0,0.0,True,1 ring
cp-316819,10273347.0,10.3625345,2.569223,10273347,cp-316819,True,3.0,3.0,0.0,True,3 rings
bay-11-7085,5353432.0,8.87268,2.2465692,5353432,bay-11-7085,True,1.0,1.0,0.0,True,1 ring
capsazepine,2733484.0,9.696563,2.4245188,2733484,capsazepine,True,3.0,2.0,1.0,True,3 rings
montelukast,5281040.0,9.987242,2.5543284,5281040,montelukast,True,5.0,4.0,1.0,True,4+ rings
cgp-52411,1697.0,9.438316,2.6241164,1697,cgp-52411,True,4.0,3.0,1.0,True,4+ rings
sym-2206,92209239.0,8.714185,2.5199227,92209239,sym-2206,True,4.0,2.0,2.0,True,4+ rings
pac-1,9675990.0,10.121276,2.8285108,9675990,pac-1,True,3.0,2.0,1.0,True,3 rings
tenofovir-disoproxil,5481350.0,10.287021,-0.31602198,5481350,tenofovir-disoproxil,True,2.0,2.0,0.0,True,2 rings
relebactam,44129647.0,9.359635,1.6940563,44129647,relebactam,True,3.0,0.0,3.0,True,3 rings
cerulenin,5282054.0,11.085779,1.220905,5282054,cerulenin,True,1.0,0.0,1.0,True,1 ring
gr-135531,4284525.0,11.316803,2.899854,4284525,gr-135531,True,2.0,2.0,0.0,True,2 rings
pipotiazine-palmitate,37767.0,8.730797,3.9929333,37767,pipotiazine-palmitate,True,4.0,2.0,2.0,True,4+ rings
erlotinib,176870.0,9.021968,4.1418037,176870,erlotinib,True,3.0,3.0,0.0,True,3 rings
farnesyl-thiosalicylic-acid-amide,25187973.0,10.128048,1.7245668,25187973,farnesyl-thiosalicylic-acid-amide,True,1.0,1.0,0.0,True,1 ring
losmapimod,11552706.0,10.025206,2.91075,11552706,losmapimod,True,3.0,2.0,1.0,True,3 rings
ru-42173,3086576.0,9.253767,1.7545841,3086576,ru-42173,True,3.0,2.0,1.0,True,3 rings
(r)-baclofen,6918881.0,10.4255705,2.1680882,6918881,(r)-baclofen,True,1.0,1.0,0.0,True,1 ring
raloxifene,5035.0,9.665159,2.8066266,5035,raloxifene,True,5.0,4.0,1.0,True,4+ rings
butaprost,5311035.0,11.016415,1.2348901,5311035,butaprost,True,2.0,0.0,2.0,True,2 rings
aee788,10297043.0,10.270059,2.994337,10297043,aee788,True,5.0,4.0,1.0,True,4+ rings
thiamet-g,24808478.0,9.741634,0.34045112,24808478,thiamet-g,True,2.0,0.0,2.0,True,2 rings
mek1-2-inhibitor,54483521.0,9.234302,2.211238,54483521,mek1-2-inhibitor,True,2.0,2.0,0.0,True,2 rings
abamectin,6858005.0,9.44632,0.93847597,6858005,abamectin,True,7.0,0.0,7.0,True,4+ rings
gsk356278,10252640.0,9.097042,1.7770215,10252640,gsk356278,True,5.0,4.0,1.0,True,4+ rings
salinomycin,3085092.0,10.417817,1.6809903,3085092,salinomycin,True,5.0,0.0,5.0,True,4+ rings
riodoxol,152256.0,9.42671,2.0545552,152256,riodoxol,True,1.0,1.0,0.0,True,1 ring
umeclidinium,11519070.0,10.064796,2.6467965,11519070,umeclidinium,True,6.0,3.0,3.0,True,4+ rings
a922500,24768273.0,9.865717,3.3809102,24768273,a922500,True,4.0,3.0,1.0,True,4+ rings
dextran,5460037.0,9.812567,0.38832107,5460037,dextran,True,2.0,0.0,2.0,True,2 rings
pf-4191834,24986635.0,9.747666,1.9720575,24986635,pf-4191834,True,4.0,3.0,1.0,True,4+ rings
ursodeoxycholyltaurine,9848818.0,8.926466,-0.36575285,9848818,ursodeoxycholyltaurine,True,4.0,0.0,4.0,True,4+ rings
ethynodiol-diacetate,9270.0,8.468611,-0.16656923,9270,ethynodiol-diacetate,True,4.0,0.0,4.0,True,4+ rings
oxyclozanide,16779.0,9.4326515,2.0783906,16779,oxyclozanide,True,2.0,2.0,0.0,True,2 rings
cb-5083,73051434.0,9.980612,2.8524315,73051434,cb-5083,True,5.0,4.0,1.0,True,4+ rings
pindolol-(-),688095.0,11.008757,3.9237301,688095,pindolol-(-),True,2.0,2.0,0.0,True,2 rings
ambrisentan,6918493.0,10.130254,2.614424,6918493,ambrisentan,True,3.0,3.0,0.0,True,3 rings
sevoflurane,5206.0,9.139209,1.635293,5206,sevoflurane,True,0.0,0.0,0.0,False,0 rings
sulfacarbamide,11033.0,8.422043,2.6502514,11033,sulfacarbamide,True,1.0,1.0,0.0,True,1 ring
r306465,10309899.0,9.7102165,2.7418048,10309899,r306465,True,4.0,3.0,1.0,True,4+ rings
dimethyl-fumarate,637568.0,9.729134,1.8625696,637568,dimethyl-fumarate,True,0.0,0.0,0.0,False,0 rings
relugolix,10348973.0,9.806816,3.4086938,10348973,relugolix,True,5.0,5.0,0.0,True,4+ rings
mirabegron,9865528.0,10.220571,2.9191039,9865528,mirabegron,True,3.0,3.0,0.0,True,3 rings
sasapyrine,5161.0,10.228224,3.1749463,5161,sasapyrine,True,2.0,2.0,0.0,True,2 rings
gdc-0927,87055263.0,9.466231,2.6494358,87055263,gdc-0927,True,5.0,3.0,2.0,True,4+ rings
gnf-2,5311510.0,9.776651,2.6659234,5311510,gnf-2,True,3.0,3.0,0.0,True,3 rings
mln0128,45375953.0,8.97781,2.3166473,45375953,mln0128,True,4.0,4.0,0.0,True,4+ rings
atropine-oxide,,10.653418,2.9464145,,atropine-oxide,True,3.0,1.0,2.0,True,3 rings
buclizine,3246096.0,10.180372,3.468251,3246096,buclizine,True,4.0,3.0,1.0,True,4+ rings
bremelanotide,,11.560546,2.6077805,,bremelanotide,True,5.0,4.0,1.0,True,4+ rings
decamethoxine,,10.180595,1.5071504,,decamethoxine,True,2.0,0.0,2.0,True,2 rings
mofegiline,6437850.0,9.777912,2.079442,6437850,mofegiline,True,1.0,1.0,0.0,True,1 ring
cefditoren-pivoxil,6437877.0,13.43041,1.5198551,6437877,cefditoren-pivoxil,True,4.0,2.0,2.0,True,4+ rings
bix-02189,,10.058712,3.151345,,bix-02189,True,4.0,3.0,1.0,True,4+ rings
ly344864,5311097.0,9.878511,3.4775643,5311097,ly344864,True,4.0,3.0,1.0,True,4+ rings
fenebrutinib,86567195.0,9.188284,1.4411777,86567195,fenebrutinib,True,8.0,4.0,4.0,True,4+ rings
shikimic-acid,11332752.0,9.684798,1.6926475,11332752,shikimic-acid,True,1.0,0.0,1.0,True,1 ring
tegaserod,135409453.0,9.105641,3.016715,135409453,tegaserod,True,2.0,2.0,0.0,True,2 rings
apramycin,3081545.0,9.649995,0.11210428,3081545,apramycin,True,4.0,0.0,4.0,True,4+ rings
alizarin,6293.0,9.314204,2.5392547,6293,alizarin,True,3.0,2.0,1.0,True,3 rings
azd3965,10369242.0,9.527208,1.6036571,10369242,azd3965,True,4.0,3.0,1.0,True,4+ rings
cid-5458317,,9.4689,2.1993458,,cid-5458317,True,4.0,2.0,2.0,True,4+ rings
roflumilast,449193.0,9.780323,2.932555,449193,roflumilast,True,3.0,2.0,1.0,True,3 rings
ssr128129e,11347895.0,10.039796,3.0582852,11347895,ssr128129e,True,3.0,3.0,0.0,True,3 rings
ombrabulin,6918405.0,8.807308,3.2326157,6918405,ombrabulin,True,2.0,2.0,0.0,True,2 rings
deferiprone,2972.0,9.346882,1.9950134,2972,deferiprone,True,1.0,1.0,0.0,True,1 ring
cevimeline,18642481.0,9.1196995,1.6631608,18642481,cevimeline,True,4.0,0.0,4.0,True,4+ rings
tc-f-2,25198728.0,9.162382,1.9849977,25198728,tc-f-2,True,6.0,5.0,1.0,True,4+ rings
gsk269962,16095342.0,9.626275,3.302223,16095342,gsk269962,True,6.0,5.0,1.0,True,4+ rings
cgp-54626,197584.0,10.7830305,2.8530185,197584,cgp-54626,True,2.0,1.0,1.0,True,2 rings
ticlopidine,5472.0,9.641037,2.5420542,5472,ticlopidine,True,3.0,2.0,1.0,True,3 rings
dofequidar,9960287.0,10.618792,3.7093234,9960287,dofequidar,True,5.0,4.0,1.0,True,4+ rings
tgx-221,51601993.0,9.058472,2.7359223,51601993,tgx-221,True,4.0,3.0,1.0,True,4+ rings
rs-100329,3567002.0,9.70617,3.983463,3567002,rs-100329,True,3.0,2.0,1.0,True,3 rings
sa-47,9840648.0,9.989453,2.2998219,9840648,sa-47,True,2.0,1.0,1.0,True,2 rings
olopatadine,5281071.0,9.056807,3.5762618,5281071,olopatadine,True,3.0,2.0,1.0,True,3 rings
khellin,3828.0,9.056262,2.0659027,3828,khellin,True,3.0,3.0,0.0,True,3 rings
osi-930,9868037.0,9.852896,3.4074974,9868037,osi-930,True,4.0,4.0,0.0,True,4+ rings
ammonium-lactate,10313098.0,10.410477,1.849322,10313098,ammonium-lactate,True,0.0,0.0,0.0,False,0 rings
azd4573,124155204.0,9.6291685,1.8381759,124155204,azd4573,True,4.0,2.0,2.0,True,4+ rings
cefoselis,9830520.0,13.427396,1.5240371,9830520,cefoselis,True,4.0,2.0,2.0,True,4+ rings
isoflurane,4369440.0,9.1625595,1.636156,4369440,isoflurane,True,0.0,0.0,0.0,False,0 rings
cp-775146,10410059.0,10.482703,2.5106976,10410059,cp-775146,True,3.0,2.0,1.0,True,3 rings
n-methylpyrrolidone,13387.0,9.187454,1.713272,13387,n-methylpyrrolidone,True,1.0,0.0,1.0,True,1 ring
clomifene,1548955.0,10.473231,3.2672935,1548955,clomifene,True,3.0,3.0,0.0,True,3 rings
minerval,11066464.0,11.140385,1.1349776,11066464,minerval,True,0.0,0.0,0.0,False,0 rings
pifithrin-alpha,4817.0,9.777672,2.2790647,4817,pifithrin-alpha,True,3.0,2.0,1.0,True,3 rings
way-161503,6604916.0,9.076055,1.652625,6604916,way-161503,True,3.0,1.0,2.0,True,3 rings
palonosetron,6337614.0,9.126975,1.8191699,6337614,palonosetron,True,6.0,1.0,5.0,True,4+ rings
quinethazone,6604207.0,8.218023,2.3517797,6604207,quinethazone,True,2.0,1.0,1.0,True,2 rings
xe-991,656732.0,9.437502,2.6073363,656732,xe-991,True,5.0,4.0,1.0,True,4+ rings
megestrol,19090.0,8.418639,-0.5243128,19090,megestrol,True,4.0,0.0,4.0,True,4+ rings
ac-7954-(+/-),10937426.0,9.132896,2.966473,10937426,ac-7954-(+/-),True,3.0,2.0,1.0,True,3 rings
edonerpic-maleate,9901946.0,9.474973,2.1435983,9901946,edonerpic-maleate,True,3.0,2.0,1.0,True,3 rings
norcyclobenzaprine,9918.0,9.222663,3.071793,9918,norcyclobenzaprine,True,3.0,2.0,1.0,True,3 rings
tucatinib,51039094.0,9.034212,4.1240234,51039094,tucatinib,True,6.0,5.0,1.0,True,4+ rings
ldn-209929,46871867.0,8.973676,2.658323,46871867,ldn-209929,True,3.0,3.0,0.0,True,3 rings
fosfructose,84951.0,10.058776,1.2113534,84951,fosfructose,True,0.0,0.0,0.0,False,0 rings
liothyronine,7048703.0,10.987706,2.222796,7048703,liothyronine,True,2.0,2.0,0.0,True,2 rings
deoxycorticosterone-acetate,5952.0,8.448545,-0.5474262,5952,deoxycorticosterone-acetate,True,4.0,0.0,4.0,True,4+ rings
ganetespib,135564985.0,9.57002,2.1268373,135564985,ganetespib,True,4.0,4.0,0.0,True,4+ rings
epirizole,3242.0,9.136358,1.8737103,3242,epirizole,True,2.0,2.0,0.0,True,2 rings
opc-21268,114904.0,9.979167,2.938546,114904,opc-21268,True,4.0,2.0,2.0,True,4+ rings
acrivastine,5284514.0,9.874045,2.3932407,5284514,acrivastine,True,3.0,2.0,1.0,True,3 rings
gsk1070916,46885626.0,9.823411,3.36622,46885626,gsk1070916,True,5.0,5.0,0.0,True,4+ rings
zolmitriptan,60857.0,11.483829,2.8618522,60857,zolmitriptan,True,3.0,2.0,1.0,True,3 rings
"2,4-dinitrochlorobenzene",6.0,8.383934,2.1268995,6,"2,4-dinitrochlorobenzene",True,1.0,1.0,0.0,True,1 ring
astragaloside-a,13943299.0,9.692925,0.2628799,13943299,astragaloside-a,True,8.0,0.0,8.0,True,4+ rings
chir-98014,53396311.0,8.487223,2.2627413,53396311,chir-98014,True,4.0,4.0,0.0,True,4+ rings
dizocilpine-(+),180081.0,9.276153,2.118736,180081,dizocilpine-(+),True,4.0,2.0,2.0,True,4+ rings
amineptine,38988248.0,10.566899,1.8608556,38988248,amineptine,True,3.0,2.0,1.0,True,3 rings
