epoch,train_loss,val_loss,val_bitwise_accuracy,elapsed_min,latent_dim,batch_size,lr
1,0.05767684266653903,0.03731548619389534,0.9869980228638429,30.395960930983225,128,512,0.001
2,0.03336973616954054,0.030640818560123444,0.989486168840686,28.136498800913493,128,512,0.001
3,0.029628317100952227,0.02747174518942833,0.9906710977575847,32.47220571835836,128,512,0.001
4,0.031946099815110554,0.027545862865448,0.9906859519273047,28.67152185042699,128,512,0.001
5,0.026724664042406213,0.025911939563155174,0.9912578733694856,32.50323286453883,128,512,0.001
6,0.026024659937628803,0.025117544731497764,0.9915643661146123,29.488585285345714,128,512,0.001
7,0.025246758317663855,0.02529092383503914,0.99148236552836,29.354949847857156,128,512,0.001
8,0.024910696866658456,0.024406741372942926,0.9918025707166935,31.87841361363729,128,512,0.001
9,0.023613951862805013,0.023495125674009323,0.9921246416532317,29.840209368864695,128,512,0.001
10,0.02307800095068684,0.02381975168943405,0.9919657027700425,28.622234332561494,128,512,0.001
11,0.04197478940854935,0.03664951418042183,0.9872366378425912,28.100361502170564,128,512,0.001
12,0.034524618968017354,0.034196121913194655,0.9881646841565294,28.22328710158666,128,512,0.001
13,0.032481342170671085,0.032653376307487485,0.9887520621427525,102.15151108503342,128,512,0.001
14,0.03145104270837847,0.03163914290010929,0.9890925648541697,31.564968446890514,128,512,0.001
15,0.030811081076703477,0.03104976036965847,0.9893168137183057,30.517354150613148,128,512,0.001
16,0.030320123672169436,0.03054961149930954,0.9895137461527187,28.807552115122476,128,512,0.001
17,0.029862961699337942,0.030602374621033667,0.9894988040451415,28.524798154830933,128,512,0.001
18,0.029538023579986566,0.02988279645204544,0.989753001612194,28.634945996602376,128,512,0.001
19,0.0292843173207638,0.029729251596927644,0.9897924212223362,30.05713031689326,128,512,0.001
20,0.029076819910118616,0.029847831512093543,0.9897436391616591,41.67795198361079,128,512,0.001
21,0.028905502189056336,0.029503489509224892,0.9898806653964531,36.997738087177275,128,512,0.001
22,0.02874142393286449,0.02911472658395767,0.9900337564121354,31.87950881719589,128,512,0.001
23,0.028603286499381108,0.029375410459041594,0.9899345507841125,29.24121388196945,128,512,0.001
24,0.02848012310866903,0.029269482021927834,0.9899562641066979,28.092869317531587,128,512,0.001
25,0.028366172176489454,0.029135364750027655,0.9900178191411403,27.3892985979716,128,512,0.001
26,0.0282641456840332,0.029056811887025833,0.9900531760222776,29.233854885896047,128,512,0.001
27,0.028175924034594145,0.02889016270697117,0.9900991953686061,28.59339261452357,128,512,0.001
28,0.02808364020635705,0.028775172302126884,0.9901447647662318,26.28273320198059,128,512,0.001
29,0.027999800336019287,0.02911895326912403,0.9900244188773267,27.567551565170287,128,512,0.001
30,0.027926993205274014,0.028580837129354476,0.9902258376080902,27.43459699948629,128,512,0.001
31,0.027856225627293126,0.028917102450728416,0.9900902520885241,27.92899326880773,128,512,0.001
32,0.027790380899544245,0.02875945263624191,0.9901657540671259,29.667153334617616,128,512,0.001
33,0.02772046751577369,0.02851378557622433,0.9902540524695882,30.189462451140084,128,512,0.001
34,0.027672498780182676,0.028193657922744753,0.9903828653085153,30.22590254942576,128,512,0.001
35,0.027645920445707066,0.028301933867931367,0.9903380580389858,28.04011861483256,128,512,0.001
36,0.027553937596683294,0.02864965701401234,0.990175657335483,25.931544784704844,128,512,0.001
37,0.030966614344526404,0.03176918142795563,0.9890182881430456,26.898765869935353,128,512,0.001
38,0.030077021593081295,0.02978019104361534,0.9897751648834824,28.762256471316018,128,512,0.001
39,0.0288236318734297,0.02923476450920105,0.989994728125458,24.758686236540477,128,512,0.001
40,0.028549602950186218,0.02948449929356575,0.9898876828374615,27.433668784300487,128,512,0.001
41,0.028398487164513497,0.02895712458193302,0.9901143016268503,27.37181839545568,128,512,0.001
42,0.028294980367418423,0.028933526011705398,0.9901044525868387,27.397858464717864,128,512,0.001
43,0.028234695042719696,0.028863478699922562,0.9901310142166203,27.32975593407949,128,512,0.001
44,0.02816985236787307,0.02894475301027298,0.9900962318628169,27.591686602433523,128,512,0.001
45,0.028069474517056762,0.028784397089481353,0.9901604821925839,241.3301863670349,128,512,0.001
46,0.02801879180444131,0.028557194181084634,0.9902427949582295,30.397141202290854,128,512,0.001
47,0.028621456871078182,0.028770122584104538,0.9901786149787484,29.23804895480474,128,512,0.001
48,0.028089750981939138,0.028690961037278175,0.9901971757291514,28.15149794816971,128,512,0.001
49,0.027911535395533354,0.028534940440654754,0.9902489740583321,28.033481379350025,128,512,0.001
50,0.027859647964975198,0.02896328551888466,0.9900798842151546,27.640048599243165,128,512,0.001
