minimum_profiles,n_compounds,fold,r2,mae,spearman
5,2624,1,0.16124976191672802,0.10858494040272539,0.4200155313090091
5,2624,2,0.17126063904353528,0.11313980255129791,0.4470451315050124
5,2624,3,0.16408103431918974,0.10780485174654654,0.42055929951102483
5,2624,4,0.16541828054680707,0.11034610743207907,0.4216307211435951
5,2624,5,0.18140335531085117,0.11024482015858601,0.49080571606330936
5,2624,6,0.1510449200225782,0.11064779820112008,0.4147807992802841
5,2624,7,0.17416470677358753,0.11391514602626127,0.4750918896967543
5,2624,8,0.16722988412161588,0.110464201701497,0.4418600904905894
5,2624,9,0.14711488772046855,0.11324443302802037,0.3989111708442042
5,2624,10,0.2060153300967439,0.10191781048694401,0.5041179265127086
5,2624,11,0.16045469016180458,0.1055535101571884,0.42246523751705056
5,2624,12,0.17537824977252137,0.11133007897352733,0.42073408924251193
5,2624,13,0.18877229450856903,0.11490534619419575,0.48902737984950573
5,2624,14,0.14177132466335618,0.11163149399027442,0.42656707701731095
5,2624,15,0.1918070748324754,0.10670739382393878,0.45967784327137995
10,1463,1,0.1586062130154855,0.08767781465072548,0.41086506803938705
10,1463,2,0.14649245181956316,0.08893720252962786,0.41579545465387996
10,1463,3,0.16417010647542418,0.0826762538190181,0.40255223876685337
10,1463,4,0.1442255278957606,0.08219550259297931,0.4231858575353453
10,1463,5,0.12355632078757484,0.09440374520316698,0.37509308426674665
10,1463,6,0.16852610170996907,0.08825627101640786,0.4233619596194909
10,1463,7,0.1492011063234715,0.08681371552050453,0.38226524771283243
10,1463,8,0.09621336559174076,0.08621004466100007,0.31461995753108657
10,1463,9,0.16186046204401328,0.08634970642626284,0.4083728866251551
10,1463,10,0.19129978178136153,0.08907021484452568,0.47646991557588436
10,1463,11,0.17631515463518033,0.08542772077808876,0.48007706617095625
10,1463,12,0.19680075336078828,0.08753976773937679,0.46404272663964113
10,1463,13,0.1583915865482256,0.08167116927558109,0.42712767365824234
10,1463,14,0.1480114890354658,0.08527783056173112,0.383026153244779
10,1463,15,0.17556045256086739,0.08898192407186264,0.4362290078359626
20,801,1,0.14322895068249863,0.06304242440940924,0.37583561639906227
20,801,2,0.10103622212851882,0.06308816802004973,0.36927397257273814
20,801,3,0.125352245080097,0.06783009503347179,0.33835867980106915
20,801,4,0.1466823141592496,0.06280538413921992,0.37117248562391714
20,801,5,0.14696825679253178,0.061521980030462144,0.41500644556427985
