target,target_label,model,min_profiles,n_train,n_test,r2,mae,rmse,spearman,n_features
mean_total_error,Mean AE error,random_forest,20,640,161,0.022240077659189894,0.03665188868492985,0.05670200292048272,0.2860624324696165,130
mean_total_error,Mean AE error,hist_gradient_boosting,20,640,161,-0.04732947743828486,0.03740911052232305,0.058684572823358185,0.3051877050176952,130
mean_total_error,Mean AE error,ridge,20,640,161,-0.12625467777252197,0.039823781698942184,0.060855605194753734,0.24258396595353118,130
raw_error_inverted_score,Predictability score,random_forest,20,640,161,0.03208486301959779,0.13150863076365235,0.1918114462905758,0.3062981097240752,130
raw_error_inverted_score,Predictability score,hist_gradient_boosting,20,640,161,-0.09111337412590226,0.139646089068171,0.20365300311664283,0.2289218940639732,130
raw_error_inverted_score,Predictability score,ridge,20,640,161,-0.13458490371704102,0.1430516242980957,0.20767029615018318,0.24229229773783797,130
source_normalized_inverted_score,Source-normalized predictability score,random_forest,20,640,161,0.13976782275680233,0.06293263325639376,0.08321835265980439,0.3910788985787894,130
source_normalized_inverted_score,Source-normalized predictability score,hist_gradient_boosting,20,640,161,0.13200172049798653,0.06406236894597987,0.08359315271717756,0.3597411718867187,130
source_normalized_inverted_score,Source-normalized predictability score,ridge,20,640,161,0.0324329137802124,0.06996791809797287,0.08825753503208623,0.34890610543638634,130
variance_total_error,Error variance,random_forest,20,640,161,-0.8476668272328132,0.009787861398808634,0.02671481830266724,-0.09044606225996002,130
variance_total_error,Error variance,hist_gradient_boosting,20,640,161,-1.1082057949484874,0.014482606763778789,0.028536249618958072,-0.1328057660497281,130
variance_total_error,Error variance,ridge,20,640,161,-2.1916756629943848,0.026134559884667397,0.03511153297865346,-0.10558431101909364,130
